Año,Tipo_de_delito,Modalidad,Sexo,Rango_de_edad,Mes,Numero_registros
2023,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Julio,2
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Adultos (18 y más),Julio,13
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,No especificado,Julio,29
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Julio,3
2023,Tráfico de menores,Tráfico de menores,Mujer,Menores de edad (0-17),Agosto,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Menores de edad (0-17),Agosto,58
2023,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Agosto,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Adultos (18 y más),Agosto,11
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,No especificado,Agosto,15
2023,Secuestro,Secuestro extorsivo,Hombre,Menores de edad (0-17),Agosto,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Menores de edad (0-17),Agosto,54
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Adultos (18 y más),Agosto,20
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,No especificado,Agosto,12
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Menores de edad (0-17),Septiembre,44
2023,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Septiembre,2
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Adultos (18 y más),Septiembre,17
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,No especificado,Septiembre,14
2023,Secuestro,Secuestro extorsivo,Hombre,Menores de edad (0-17),Septiembre,2
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Menores de edad (0-17),Septiembre,47
2023,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Septiembre,2
2023,Rapto,Rapto,Hombre,Adultos (18 y más),Septiembre,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Adultos (18 y más),Septiembre,15
